Lateral um,Raw Nanometer
2830.6,-1607.23
2833.8,-1608.13
2836.9,-1611.35
2840.0,-1613.85
2843.2,-1616.91
2846.3,-1620.19
2849.4,-1624.22
2852.5,-1627.60
2855.7,-1630.90
2858.8,-1634.60
2861.9,-1640.16
2865.0,-1646.65
2868.2,-1651.62
2871.3,-1654.76
2874.4,-1657.12
2877.6,-1660.45
2880.7,-1661.89
2883.8,-1663.51
2886.9,-1663.31
2890.1,-1663.54
2893.2,-1665.00
2896.3,-1667.70
2899.4,-1671.10
2902.6,-1675.31
2905.7,-1678.56
2908.8,-1679.51
2912.0,-1679.75
2915.1,-1679.46
2918.2,-1676.67
2921.3,-1671.45
2924.5,-1663.32
2927.6,-1656.57
2930.7,-1650.13
2933.9,-1645.96
2937.0,-1639.91
2940.1,-1628.90
2943.2,-1614.82
2946.4,-1601.14
2949.5,-1594.13
2952.6,-1590.46
2955.8,-1588.26
2958.9,-1586.28
2962.0,-1583.98
2965.1,-1580.49
2968.3,-1576.85
2971.4,-1571.75
2974.5,-1569.22
2977.6,-1597.43
2980.8,-1651.60
2983.9,-1716.23
2987.0,-1781.53
2990.2,-1842.38
2993.3,-1896.82
2996.4,-1943.51
2999.5,-1970.87
3002.7,-1955.77
3005.8,-1916.19
3008.9,-1868.25
3012.1,-1836.71
3015.2,-1828.81
3018.3,-1834.64
3021.4,-1849.43
3024.6,-1868.82
3027.7,-1886.85
3030.8,-1902.83
3033.9,-1917.50
3037.1,-1930.03
3040.2,-1940.31
3043.3,-1947.01
3046.5,-1951.27
3049.6,-1950.70
3052.7,-1949.13
3055.8,-1943.82
3059.0,-1935.53
3062.1,-1924.15
3065.2,-1911.99
3068.3,-1901.05
3071.5,-1889.11
3074.6,-1876.39
3077.7,-1862.80
3080.9,-1849.78
3084.0,-1837.16
3087.1,-1825.53
3090.2,-1815.95
3093.4,-1807.59
3096.5,-1800.98
3099.6,-1794.50
3102.8,-1789.86
3105.9,-1793.69
3109.0,-1802.02
3112.1,-1816.84
3115.3,-1835.91
3118.4,-1855.86
3121.5,-1871.35
3124.7,-1886.06
3127.8,-1899.35
3130.9,-1912.23
3134.0,-1922.32
3137.2,-1930.71
3140.3,-1937.18
3143.4,-1941.96
3146.5,-1944.82
3149.7,-1946.42
3152.8,-1945.16
3155.9,-1942.68
3159.1,-1939.96
3162.2,-1936.12
3165.3,-1931.47
3168.4,-1926.78
3171.6,-1921.48
3174.7,-1915.58
3177.8,-1909.03
3180.9,-1901.78
3184.1,-1893.74
3187.2,-1886.45
3190.3,-1879.69
3193.5,-1872.07
3196.6,-1865.92
3199.7,-1858.48
3202.8,-1850.84
3206.0,-1844.51
3209.1,-1838.93
3212.2,-1832.18
3215.4,-1825.95
3218.5,-1821.13
3221.6,-1815.52
3224.7,-1810.55
3227.9,-1805.10
3231.0,-1800.19
3234.1,-1797.04
3237.3,-1793.25
3240.4,-1790.43
3243.5,-1788.20
3246.6,-1785.52
3249.8,-1783.57
3252.9,-1781.40
3256.0,-1779.32
3259.1,-1777.94
3262.3,-1777.26
3265.4,-1776.62
3268.5,-1775.66
3271.7,-1774.47
3274.8,-1772.86
3277.9,-1771.63
3281.0,-1770.31
3284.2,-1770.07
3287.3,-1769.50
3290.4,-1769.55
3293.6,-1768.85
3296.7,-1767.48
3299.8,-1766.71
3302.9,-1766.11
3306.1,-1765.69
3309.2,-1765.81
3312.3,-1766.27
3315.4,-1765.33
3318.6,-1765.18
3321.7,-1764.55
3324.8,-1764.03
3328.0,-1763.21
3331.1,-1762.35
3334.2,-1760.69
3337.3,-1759.93
3340.5,-1758.35
3343.6,-1756.40
3346.7,-1755.16
3349.8,-1753.83
3353.0,-1753.03
3356.1,-1753.62
3359.2,-1754.42
3362.4,-1755.16
3365.5,-1755.88
3368.6,-1756.22
3371.7,-1756.57
3374.9,-1756.87
3378.0,-1757.09
3381.1,-1756.85
3384.3,-1758.13
3387.4,-1758.60
3390.5,-1758.91
3393.6,-1758.54
3396.8,-1758.26
3399.9,-1757.91
3403.0,-1757.53
3406.2,-1757.82
3409.3,-1757.71
3412.4,-1758.17
3415.5,-1757.61
3418.7,-1758.11
3421.8,-1758.14
3424.9,-1758.15
3428.0,-1757.57
3431.2,-1757.75
3434.3,-1757.68
3437.4,-1759.30
3440.6,-1759.72
3443.7,-1759.80
3446.8,-1759.30
3449.9,-1759.82
3453.1,-1759.48
3456.2,-1759.65
3459.3,-1759.96
3462.4,-1760.73
3465.6,-1761.57
3468.7,-1762.44
3471.8,-1764.48
3475.0,-1767.05
3478.1,-1770.57
3481.2,-1774.77
3484.3,-1779.96
3487.5,-1784.93
3490.6,-1789.66
3493.7,-1792.11
3496.9,-1794.99
3500.0,-1797.06
3503.1,-1798.34
3506.2,-1798.98
3509.4,-1800.18
3512.5,-1800.84
3515.6,-1802.02
3518.8,-1804.70
3521.9,-1808.03
3525.0,-1812.96
3528.1,-1820.49
3531.3,-1827.86
3534.4,-1833.87
3537.5,-1839.85
3540.6,-1844.99
3543.8,-1850.34
3546.9,-1852.37
3550.0,-1855.10
3553.2,-1857.98
3556.3,-1859.72
3559.4,-1863.36
3562.5,-1867.01
3565.7,-1871.96
3568.8,-1875.37
3571.9,-1878.64
3575.1,-1881.48
3578.2,-1881.55
3581.3,-1880.89
3584.4,-1879.49
3587.6,-1878.39
3590.7,-1875.10
3593.8,-1870.74
3596.9,-1867.52
3600.1,-1865.54
3603.2,-1864.51
3606.3,-1865.10
3609.5,-1864.71
3612.6,-1864.49
3615.7,-1863.10
3618.8,-1862.67
3622.0,-1861.14
3625.1,-1859.90
3628.2,-1858.16
3631.3,-1857.05
3634.5,-1855.24
3637.6,-1854.76
3640.7,-1854.73
3643.9,-1853.66
3647.0,-1855.01
3650.1,-1856.37
3653.2,-1856.98
3656.4,-1857.92
3659.5,-1860.52
3662.6,-1863.80
3665.8,-1866.73
3668.9,-1870.73
3672.0,-1876.23
3675.1,-1883.71
3678.3,-1894.43
3681.4,-1908.22
3684.5,-1923.78
3687.7,-1939.50
3690.8,-1964.53
3693.9,-1995.57
3697.0,-2026.86
3700.2,-2056.99
3703.3,-2083.58
3706.4,-2106.26
3709.5,-2124.46
3712.7,-2139.46
3715.8,-2150.66
3718.9,-2159.60
3722.1,-2166.30
3725.2,-2171.11
3728.3,-2173.55
3731.4,-2174.78
3734.6,-2174.97
3737.7,-2174.46
3740.8,-2173.85
3743.9,-2172.67
3747.1,-2171.22
3750.2,-2169.35
3753.3,-2166.55
3756.5,-2162.54
3759.6,-2159.01
